"meta:instanceID","Identificacao:Data","Identificacao:localGps:Latitude","Identificacao:localGps:Longitude","Identificacao:localGps:Altitude","Identificacao:localGps:Accuracy","Identificacao:Localizacao","Identificacao:Genero","Identificacao:ondemora","Identificacao:Idade","teste1","teste2","comunidade1","comunidade2","comunidade3","comunidade4","comunidade5","casa1","casa2","casa3","casa4","casa5","escola1","escola2","escola3","escola4","escola5","espacos1","espacos2","espacos3","espacos4","espacos5","pessoas1","pessoas2","pessoas3","pessoas4","pessoas5","eu1","eu2","eu3","eu4","eu5","FavelaNews1","FavelaNews2","FavelaNews3","FavelaNews4","FavelaNews5"
"uuid:bd24dbb4-f1cd-43a2-9c3a-c5f0411571af","Sun Jun 08 00:00:00 UTC 2014","-8.0662349000","-34.8895470000","0E-10","1185.0000000000","null","F","Rua professora priscila ferreira","8","1","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","0","0","1","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"uuid:ae5fa2ac-adcd-4128-aef4-d5c27d632846","Sun Jun 08 00:00:00 UTC 2014","-8.0649023000","-34.8841059000","0E-10","876.0000000000","3 travessa julio Bernardes","M","Coelhos","8","2","0","0","0","1","1","1","0","1","0","0","0","0","1","2","2","1","0","2","1","0","0","2","2","0","0","0","0","0","0","0","0","2","1","0","0","1"
"uuid:2d929187-587f-4cda-bb9e-622fef32cb39","Sun Jun 08 00:00:00 UTC 2014","-8.0645002000","-34.8848838000","0E-10","832.0000000000","3 travessa julio Bernardes","F","Coelhos","9","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"uuid:ebdf673a-bd77-4b0c-b61f-834dc0388002","Sun Jun 08 00:00:00 UTC 2014","-8.0679888000","-34.8882804000","0E-10","929.0000000000","Rua Maria terei freira da paz","F","Coelhos","8","1","0","0","0","2","2","0","0","0","2","2","0","0","2","2","2","0","0","0","0","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0"
"uuid:d3592d88-6083-47c7-841b-7e181df9c971","Sun Jun 08 00:00:00 UTC 2014","-8.0692027000","-34.8908287000","0E-10","1375.0000000000","Rua Prata polis","F","Coelhos","8","0","0","0","0","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","0","2","0","2","2","0","0","2","0","0","0","0","0","2","2","2","0","0"
"uuid:f01a0c2c-d7bc-4929-8397-4d0c4f9597b1","Sun Jun 08 00:00:00 UTC 2014","-8.0677235406","-34.8881294299","-4.7000000000","5.0000000000","null","M","Coelhos","8","0","0","0","0","1","2","0","0","0","0","0","0","99","99","99","99","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"uuid:3a7d9ee2-8a52-4692-8cb7-7fd3ed010779","Sun Jun 08 00:00:00 UTC 2014","-8.0664888000","-34.8890261000","0E-10","45.0000000000","null","M","Coelhos","11","0","2","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","2","0","0","2","2","0","2","2","0","0","0","0","0","0","0","2","0","0","0"
"uuid:6c44d8df-6cec-4055-8c85-ebd537c0f8cd","Sun Jun 08 00:00:00 UTC 2014","-8.0665219000","-34.8888632000","0E-10","28.0000000000","null","M","Coelhos","10","0","1","2","2","0","2","2","1","0","0","2","0","0","0","2","0","2","2","0","0","1","0","2","1","2","2","0","0","0","0","0","0","1","0","1","0","0"
"uuid:0ecf930f-6663-4c14-8261-e8551e89ec47","Sun Jun 08 00:00:00 UTC 2014","-8.0664724000","-34.8886637000","0E-10","26.0000000000","null","M","Coelhos","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","1","2","0","2","0"
"uuid:61705483-f055-48fe-bf25-ba53e78c0287","Sun Jun 08 00:00:00 UTC 2014","null","null","null","null","Travessa J?lio Bernardes 48","M","Coelhos","12","0","1","2","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","2","2","2","2","0","0","0","0","0","0","0","0","1","0","0","0"
